en,fr,it,de,es,ko,kana
,Pokémon Poisson,Pokémon Acquapesce,Fisch-Pokémon,Pokémon Pez Agua,수어포켓몬,みずうおポケモン
,Pokémon Soleil,Pokémon Sole,Sonnen-Pokémon,Pokémon Sol,태양포켓몬,たいようポケモン
,Pokémon Lune,Pokémon Lucelunare,Mondschein-Pokémon,Pokémon Luz Lunar,달빛포켓몬,げっこうポケモン
,Pokémon Obscurité,Pokémon Oscurità,Finsternis,Pokémon Oscuridad,어둠포켓몬,くらやみポケモン
,Pokémon Royal,Pokémon Reale,Monarchen-Pokémon,Pokémon Regio,임금포켓몬,おうじゃポケモン
,Pokémon Strident,Pokémon Strido,Kreischer,Pokémon Chirrido,야명포켓몬,よなきポケモン
,Pokémon Symbolique,Pokémon Simbolo,Symbol,Pokémon Símbolo,심볼포켓몬,シンボルポケモン
,Pokémon Patient,Pokémon Pazienza,Gedulds-Pokémon,Pokémon Paciente,참기포켓몬,がまんポケモン
,Pokémon Long-Cou,Pokémon Lungocollo,Langhals,Pokémon Gran Cuello,긴목포켓몬,くびながポケモン
,Pokémon Ver Caché,Pokémon Larva,Beutelwurm,Pokémon Larva,도롱이벌레포켓몬,みのむしポケモン
,Pokémon Ver Caché,Pokémon Larva,Beutelwurm,Pokémon Larva,도롱이벌레포켓몬,みのむしポケモン
,Pokémon Serpent,Pokémon Terraserpe,Schlangen-Pokémon,Pokémon Serpiente Tierra,땅뱀포켓몬,つちへびポケモン
,Pokémon Scorpivol,Pokémon Aliscorpio,Flugskorpi,Pokémon Escorpiala,날전갈포켓몬,とびさそりポケモン
,Pokémon Serpenfer,Pokémon Ferroserpe,Stahlboa-Pokémon,Pokémon Serpiente Férrea,철뱀포켓몬,てつへびポケモン
Loyal Stockmonster,Pokémon Fée,Pokémon Fata,Fee,Pokémon Hada,요정포켓몬,ようせいポケモン
Powder Stockmonster,Pokémon Fée,Pokémon Fata,Fee,Pokémon Hada,요정포켓몬,ようせいポケモン
,Pokémon Bouboule,Pokémon Pallone,Ballon-Pokémon,Pokémon Globo,풍선포켓몬,ふうせんポケモン
,Pokémon Pince,Pokémon Chela,Kneifer-Pokémon,Pokémon Tenaza,집게포켓몬,はさみポケモン
,Pokémon Pourri,Pokémon Muffa,Schimmel-Pokémon,Pokémon Moho,발효포켓몬,はっこうポケモン
,Pokémon Unicorne,Pokémon Monocorno,Einzelhorn-Pokémon,Pokémon Cuerno,외뿔포켓몬,１ぽんヅノポケモン
Sharp Claw Stockmonster,Pokémon Grifacérée,Pokémon Lamartigli,Stichklauen-Pokémon,Pokémon Garra Filo,갈고리손톱포켓몬,かぎづめポケモン
,Pokémon Mini Ours,Pokémon Orsetto,Kleinbär,Pokémon Osito,아기곰포켓몬,こぐまポケモン
,Pokémon Hibernant,Pokémon Letargo,Schläfer,Pokémon Hibernante,동면포켓몬,とうみんポケモン
,Pokémon Lave,Pokémon Lava,Lava,Pokémon Lava,용암포켓몬,ようがんポケモン
Launch Stockmonster,Pokémon Lave,Pokémon Lava,Lava,Pokémon Lava,용암포켓몬,ようがんポケモン
,Pokémon Cochon,Pokémon Maiale,Ferkel-Pokémon,Pokémon Cerdo,산돼지포켓몬,いのぶたポケモン
,Pokémon Porc,Pokémon Suino,Schwein-Pokémon,Pokémon Puerco,멧돼지포켓몬,いのししポケモン
,Pokémon Corail,Pokémon Corallo,Korallen-Pokémon,Pokémon Coral,산호포켓몬,さんごポケモン
Jet Stockmonster,Pokémon Jet,Pokémon Jet,Hochdruck-Pokémon,Pokémon Reactor,분사포켓몬,ふんしゃポケモン
,Pokémon Jet,Pokémon Jet,Hochdruck-Pokémon,Pokémon Reactor,분사포켓몬,ふんしゃポケモン
,Pokémon Livraison,Pokémon Consegna,Lieferanten-Pokémon,Pokémon Reparto,배달포켓몬,はこびやポケモン
,Pokémon Cervolant,Pokémon Aquilone,Flugrochen-Pokémon,Pokémon Milano,연포켓몬,カイトポケモン
,Pokémon Armoiseau,Pokémon Armuccello,Flugstahl-Pokémon,Pokémon Coraza Ave,갑옷새포켓몬,よろいどりポケモン
Interstellar Stockmonster,Pokémon Sombre,Pokémon Buio,Hades,Pokémon Siniestro,다크포켓몬,ダークポケモン
Bonk Stockmonster,Pokémon Sombre,Pokémon Buio,Hades,Pokémon Siniestro,다크포켓몬,ダークポケモン
,Pokémon Dragon,Pokémon Drago,Drachen-Pokémon,Pokémon Dragón,드래곤포켓몬,ドラゴンポケモン
,Pokémon Long-Nez,Pokémon Nasone,Langrüssel,Pokémon Narizotas,긴코포켓몬,ながはなポケモン
,Pokémon Armure,Pokémon Armatura,Panzer,Pokémon Coraza,갑옷포켓몬,よろいポケモン
,Pokémon Virtuel,Pokémon Virtuale,Virtuell-Pokémon,Pokémon Virtual,가상포켓몬,バーチャルポケモン
,Pokémon Maxi Corne,Pokémon Grancorno,Vielender,Pokémon Gran Cuerno,큰뿔포켓몬,おおツノポケモン
Sketch Stockmonster,Pokémon Peintre,Pokémon Pittore,Maler,Pokémon Pintor,그림장이포켓몬,えかきポケモン
,Pokémon Bagarreur,Pokémon Baruffa,Racker-Pokémon,Pokémon Peleón,싸움포켓몬,けんかポケモン
,Pokémon Poirier,Pokémon Verticale,Kopfstand-Pokémon,Pokémon Boca Abajo,물구나무포켓몬,さかだちポケモン
,Pokémon Bisou,Pokémon Bacio,Kuss-Pokémon,Pokémon Beso,뽀뽀포켓몬,くちづけポケモン
,Pokémon Électrique,Pokémon Elettrico,Elektro-Pokémon,Pokémon Eléctrico,전류포켓몬,でんきポケモン
,Pokémon Charbon,Pokémon Carbonvivo,Glutherd-Pokémon,Pokémon Ascuas,불씨포켓몬,ひだねポケモン
,Pokémon Vachalait,Pokémon Bovino,Milchkuh-Pokémon,Pokémon Lechera,젖소포켓몬,ちちうしポケモン
,Pokémon Bonheur,Pokémon Felicità,Freuden-Pokémon,Pokémon Felicidad,행복포켓몬,しあわせポケモン
,Pokémon Foudre,Pokémon Tuono,Donner-Pokémon,Pokémon Trueno,우뢰포켓몬,いかずちポケモン
,Pokémon Volcan,Pokémon Vulcano,Vulkan-Pokémon,Pokémon Volcán,화산포켓몬,かざんポケモン
,Pokémon Aurore,Pokémon Aurora,Polarlicht-Pokémon,Pokémon Aurora,오로라포켓몬,オーロラポケモン
Rock Skin Stockmonster,Pokémon Peaupierre,Pokémon Peldisasso,Felshaut-Pokémon,Pokémon Piel Roca,바위표면포켓몬,いわはだポケモン
,Pokémon Carapadure,Pokémon Guscioduro,Hartschalen-Pokémon,Pokémon Caparazón,탄환포켓몬,だんがんポケモン
,Pokémon Armure,Pokémon Armatura,Panzer-Pokémon,Pokémon Coraza,갑옷포켓몬,よろいポケモン
,Pokémon Plongeon,Pokémon Immersione,Taucher-Pokémon,Pokémon Buceo,잠수포켓몬,せんすいポケモン
,Pokémon Arcenciel,Pokémon Arcobaleno,Regenbogen-Pokémon,Pokémon Arcoíris,무지개색포켓몬,にじいろポケモン
,Pokémon Temporel,Pokémon Tempovia,Zeitreise-Pokémon,Pokémon Viajetiempo,시간이동포켓몬,ときわたりポケモン
,Pokémon Bois Gecko,Pokémon Legnogeco,Waldgecko-Pokémon,Pokémon Geco Bosque,숲도마뱀포켓몬,もりトカゲポケモン
Wood Gecko Stockmonster,Pokémon Bois Gecko,Pokémon Legnogeco,Waldgecko-Pokémon,Pokémon Geco Bosque,숲도마뱀포켓몬,もりトカゲポケモン
,Pokémon Forêt,Pokémon Foresta,Dschungel-Pokémon,Pokémon Monte,밀림포켓몬,みつりんポケモン
,Pokémon Poussin,Pokémon Pulcino,Küken-Pokémon,Pokémon Polluelo,풋내기포켓몬,ひよこポケモン
Strutting Stockmonster,Pokémon Poulet,Pokémon Rampollo,Kleinhahn-Pokémon,Pokémon Ave Corral,꼬마닭포켓몬,わかどりポケモン
,Pokémon Ardent,Pokémon Vampe,Großbrand-Pokémon,Pokémon Llameante,맹화포켓몬,もうかポケモン
,Pokémon Poissonboue,Pokémon Fango Pesce,Lehmhüpfer-Pokémon,Pokémon Pez Lodo,늪물고기포켓몬,ぬまうおポケモン
,Pokémon Poissonboue,Pokémon Fango Pesce,Lehmhüpfer-Pokémon,Pokémon Pez Lodo,늪물고기포켓몬,ぬまうおポケモン
,Pokémon Poissonboue,Pokémon Fango Pesce,Lehmhüpfer-Pokémon,Pokémon Pez Lodo,늪물고기포켓몬,ぬまうおポケモン
Baby Stockmonster,Pokémon Morsure,Pokémon Morso,Biss,Pokémon Mordisco,물어뜯기포켓몬,かみつきポケモン
Warrior Stockmonster,Pokémon Morsure,Pokémon Morso,Biss,Pokémon Mordisco,물어뜯기포켓몬,かみつきポケモン
Sprint Stockmonster,Pokémon Petit Raton,Pokémon Procione,Kleindachs-Pokémon,Pokémon Mapachito,앙증너구리포켓몬,まめだぬきポケモン
Guardian Stockmonster,Pokémon Fonceur,Pokémon Sfrecciante,Sprinter-Pokémon,Pokémon Lanzado,돌진포켓몬,とっしんポケモン
,Pokémon Ver,Pokémon Baco,Wurm,Pokémon Gusano,애벌레포켓몬,いもむしポケモン
,Pokémon Cocon,Pokémon Bozzolo,Kokon,Pokémon Capullo,번데기포켓몬,さなぎポケモン
,Pokémon Papillon,Pokémon Farfalla,Falter,Pokémon Mariposa,나비포켓몬,ちょうちょポケモン
,Pokémon Cocon,Pokémon Bozzolo,Kokon,Pokémon Capullo,번데기포켓몬,さなぎポケモン
,Pokémon Papipoison,Pokémon Velentarma,Giftmotte,Pokémon Polilla Ven.,독나방포켓몬,どくがポケモン
Water Weed Stockmonster,Pokémon Aquaplante,Pokémon Alga,Wasserlinsen-Pokémon,Pokémon Lenteja Agua,개구리밥포켓몬,うきくさポケモン
Jolly Stockmonster,Pokémon Jovial,Pokémon Giocoso,Frohmut-Pokémon,Pokémon Alegre,명랑함포켓몬,ようきポケモン
Carefree Stockmonster,Pokémon Insouciant,Pokémon Spensierato,Sorglos-Pokémon,Pokémon Optimista,행복하기포켓몬,のうてんきポケモン
,Pokémon Gland,Pokémon Ghianda,Eichelnuss-Pokémon,Pokémon Bellota,도토리포켓몬,どんぐりポケモン
,Pokémon Malin,Pokémon Scaltro,Hinterlist-Pokémon,Pokémon Astuto,꾀부리기포켓몬,いじわるポケモン
,Pokémon Malveillant,Pokémon Burbero,Verschlagen-Pokémon,Pokémon Malvado,부정하기포켓몬,よこしまポケモン
,Pokémon Minirondel,Pokémon Rondinella,Schwälblein,Pokémon Pequebuche,아기제비포켓몬,こツバメポケモン
,Pokémon Hirondelle,Pokémon Rondine,Schwalbe,Pokémon Buche,제비포켓몬,ツバメポケモン
,Pokémon Mouette,Pokémon Gabbiano,Seemöwen-Pokémon,Pokémon Gaviota,괭이갈매기포켓몬,うみねこポケモン
,Pokémon Oiseaudo,Pokémon Alacquatico,Wasservogel-Pokémon,Pokémon Ave Agua,물새포켓몬,みずどりポケモン
Feeling Stockmonster,Pokémon Sentiment,Pokémon Sensazione,Gefühls-Pokémon,Pokémon Sensible,느낌포켓몬,きもちポケモン
,Pokémon Émotion,Pokémon Emozione,Emotions-Pokémon,Pokémon Sensorio,감정포켓몬,かんじょうポケモン
,Pokémon Étreinte,Pokémon Abbraccio,Umarmungs-Pokémon,Pokémon Envolvente,포용포켓몬,ほうようポケモン
,Pokémon Maresurfeur,Pokémon Sfiorapozze,Wassergeher,Pokémon Zapatero,소금쟁이포켓몬,あめんぼポケモン
,Pokémon Boule Œil,Pokémon Occhi,Auge,Pokémon Globocular,안구포켓몬,めだまポケモン
,Pokémon Champignon,Pokémon Fungo,Pilz,Pokémon Hongo,버섯포켓몬,きのこポケモン
,Pokémon Champignon,Pokémon Fungo,Pilz,Pokémon Hongo,버섯포켓몬,きのこポケモン
Drowsy Stockmonster,Pokémon Flâneur,Pokémon Ozioso,Faulpelz,Pokémon Gandul,게으름뱅이포켓몬,なまけものポケモン
Lone Stockmonster,Pokémon Turbusinge,Pokémon Indocile,Wildaffe,Pokémon Mono Feroz,성난원숭이포켓몬,あばれザルポケモン
Scorched Stockmonster,Pokémon Fainéant,Pokémon Pigrizia,Müßig,Pokémon Holgazán,나태함포켓몬,ものぐさポケモン
,Pokémon Apprenti,Pokémon Novizio,Vorbereiter-Pokémon,Pokémon Aprendiz,신참포켓몬,したづみポケモン
,Pokémon Ninja,Pokémon Ninja,Ninja-Pokémon,Pokémon Ninja,시노비포켓몬,しのびポケモン
,Pokémon Exuvie,Pokémon Cambiapelle,Häutungs-Pokémon,Pokémon Muda,허물포켓몬,ぬけがらポケモン
,Pokémon Chuchoteur,Pokémon Sussurro,Flüster-Pokémon,Pokémon Susurro,속삭임포켓몬,ささやきポケモン
,Pokémon Grosse Voix,Pokémon Vocione,Lauthals-Pokémon,Pokémon Chillón,큰목소리포켓몬,おおごえポケモン
,Pokémon Bruit Sourd,Pokémon Fragore,Krach-Pokémon,Pokémon Escandaloso,소음포켓몬,そうおんポケモン
,Pokémon Tenace,Pokémon Coraggio,Courage,Pokémon Valiente,근성포켓몬,こんじょうポケモン
Chiseled Stockmonster,Pokémon Cogneur,Pokémon Sberletese,Armwurf,Pokémon Empuje,손바닥치기포켓몬,つっぱりポケモン
Polka Dot Stockmonster,Pokémon Point Polka,Pokémon Pois,Gepunktet-Pokémon,Pokémon A Topos,물방울포켓몬,みずたまポケモン
,Pokémon Boussole,Pokémon Bussola,Kompass,Pokémon Brújula,콤파스포켓몬,コンパスポケモン
Mid-Yawn Stockmonster,Pokémon Chaton,Pokémon Micio,Kätzchen,Pokémon Gatito,작은고양이포켓몬,こねこポケモン
Minimal Stockmonster,Pokémon Guindé,Pokémon Finezza,Eingebildet,Pokémon Cursi,새침떼기포켓몬,おすましポケモン
Prankster Stockmonster,Pokémon Obscurité,Pokémon Oscurità,Finsternis-Pokémon,Pokémon Oscuridad,어둠포켓몬,くらやみポケモン
,Pokémon Trompeur,Pokémon Inganno,Schwindler-Pokémon,Pokémon Tramposo,배반포켓몬,あざむきポケモン
,Pokémon Armurfer,Pokémon Corazza,Eisenpanzer-Pokémon,Pokémon Coraza Férrea,철갑옷포켓몬,てつヨロイポケモン
,Pokémon Armurfer,Pokémon Corazza,Eisenpanzer-Pokémon,Pokémon Coraza Férrea,철갑옷포켓몬,てつヨロイポケモン
,Pokémon Armurfer,Pokémon Corazza,Eisenpanzer-Pokémon,Pokémon Coraza Férrea,철갑옷포켓몬,てつヨロイポケモン
,Pokémon Méditation,Pokémon Meditazione,Meditation,Pokémon Meditador,명상포켓몬,めいそうポケモン
,Pokémon Méditation,Pokémon Meditazione,Meditation,Pokémon Meditador,명상포켓몬,めいそうポケモン
Static Stockmonster,Pokémon Orage,Pokémon Lampo,Gewitter-Pokémon,Pokémon Calambre,천둥번개포켓몬,いなずまポケモン
Moonbound Stockmonster,Pokémon Décharge,Pokémon Scossa,Entladungs-Pokémon,Pokémon Descarga,방전포켓몬,ほうでんポケモン
,Pokémon Acclameur,Pokémon Incitamento,Jubel,Pokémon Ánimo,응원포켓몬,おうえんポケモン
,Pokémon Acclameur,Pokémon Incitamento,Jubel,Pokémon Ánimo,응원포켓몬,おうえんポケモン
,Pokémon Luciole,Pokémon Lucciola,Glühwürmchen,Pokémon Luciérnaga,반딧불포켓몬,ほたるポケモン
,Pokémon Luciole,Pokémon Lucciola,Glühwürmchen,Pokémon Luciérnaga,반딧불포켓몬,ほたるポケモン
,Pokémon Épine,Pokémon Spina,Dorn-Pokémon,Pokémon Espina,가시포켓몬,いばらポケモン
,Pokémon Estomac,Pokémon Stomaco,Magen,Pokémon Estómago,밥통포켓몬,いぶくろポケモン
,Pokémon Sac Poison,Pokémon Velenosacco,Giftbeutel,Pokémon Bolsa Veneno,독봉지포켓몬,どくぶくろポケモン
,Pokémon Féroce,Pokémon Feroce,Gnadenlos-Pokémon,Pokémon Feroz,사나움포켓몬,どうもうポケモン
,Pokémon Brutal,Pokémon Brutale,Brutal-Pokémon,Pokémon Voraz,난폭포켓몬,きょうぼうポケモン
,Pokémon Baleinboule,Pokémon Balenottero,Kugelwal-Pokémon,Pokémon Ballenabola,둥근고래포켓몬,たまくじらポケモン
,Pokémon Cachabouée,Pokémon Megabalena,Flutwal-Pokémon,Pokémon Ballenaflot,뜸고래포켓몬,うきくじらポケモン
,Pokémon Engourdi,Pokémon Torpore,Taubheit,Pokémon Torpe,둔감포켓몬,どんかんポケモン
,Pokémon Éruption,Pokémon Eruzione,Ausbruch,Pokémon Erupción,분화포켓몬,ふんかポケモン
Turbo Stockmonster,Pokémon Charbon,Pokémon Carbone,Kohle-Pokémon,Pokémon Carbón,석탄포켓몬,せきたんポケモン
,Pokémon Rebond,Pokémon Molla,Sprungfeder,Pokémon Saltarín,튀다포켓몬,とびはねポケモン
,Pokémon Magouilleur,Pokémon Raggiro,Manipulator,Pokémon Manipulador,조작포켓몬,あやつりポケモン
,Pokémon Panda Tache,Pokémon Macchipanda,Punkt-Panda,Pokémon Panda Topos,얼룩팬더포켓몬,ぶちパンダポケモン
Ant Pit Stockmonster,Pokémon Piégeur,Pokémon Trappola,Ameisenlöwen-Pokémon,Pokémon Hormiga León,개미지옥포켓몬,ありじごくポケモン
,Pokémon Vibration,Pokémon Vibrazione,Vibrations-Pokémon,Pokémon Vibrante,진동포켓몬,しんどうポケモン
Mystic Stockmonster,Pokémon Mystique,Pokémon Magico,Mystik-Pokémon,Pokémon Místico,정령포켓몬,せいれいポケモン
,Pokémon Cactus,Pokémon Cactus,Kaktus,Pokémon Cactus,선인장포켓몬,サボテンポケモン
,Pokémon Épouvantail,Pokémon Spavento,Vogelschock,Pokémon Espantajo,허수아비포켓몬,カカシぐさポケモン
,Pokémon Oiseaucoton,Pokémon Alidicotone,Wollvogel-Pokémon,Pokémon Ave Algodón,솜새포켓몬,わたどりポケモン
Ascending Stockmonster,Pokémon Virevolteur,Pokémon Canterino,Summsel-Pokémon,Pokémon Cantor,허밍포켓몬,ハミングポケモン
Cat Ferret Stockmonster,Pokémon Chat Furet,Pokémon Furogatto,Frettkatz,Pokémon Gato Hurón,고양이족제비포켓몬,ネコイタチポケモン
Fang Snake Stockmonster,Pokémon Serpacroc,Pokémon Zannaserpe,Reißzahn,Pokémon Colmillos,송곳뱀포켓몬,キバへびポケモン
,Pokémon Météorite,Pokémon Meteorite,Meteoriten-Pokémon,Pokémon Meteorito,별똥별포켓몬,いんせきポケモン
,Pokémon Météorite,Pokémon Meteorite,Meteoriten-Pokémon,Pokémon Meteorito,별똥별포켓몬,いんせきポケモン
Whiskers Stockmonster,Pokémon Barbillon,Pokémon Baffetti,Barthaar-Pokémon,Pokémon Bigotudo,수염물고기포켓몬,ひげうおポケモン
Whiskers Stockmonster,Pokémon Barbillon,Pokémon Baffetti,Barthaar-Pokémon,Pokémon Bigotudo,수염물고기포켓몬,ひげうおポケモン
,Pokémon Brute,Pokémon Birbone,Grobian-Pokémon,Pokémon Rufián,건달포켓몬,ごろつきポケモン
,Pokémon Crapule,Pokémon Canaglia,Schlingel-Pokémon,Pokémon Granuja,불량배포켓몬,ならずものポケモン
,Pokémon Poupargile,Pokémon Argilla,Lehmpuppen-Pokémon,Pokémon Muñeca Barro,토우포켓몬,どぐうポケモン
,Pokémon Poupargile,Pokémon Argilla,Lehmpuppen-Pokémon,Pokémon Muñeca Barro,토우포켓몬,どぐうポケモン
,Pokémon Lis d’Eau,Pokémon Fiordimare,Seeanemonen-Pokémon,Pokémon Lirio de Mar,바다나리포켓몬,ウミユリポケモン
,Pokémon Bernacle,Pokémon Lepade,Rankfüßer-Pokémon,Pokémon Percebe,바위단지포켓몬,いわつぼポケモン
,Pokémon Crustage,Pokémon Primaceo,Urgarnelen-Pokémon,Pokémon Camarón,고대새우포켓몬,むかしエビポケモン
,Pokémon Blindage,Pokémon Piastre,Schild-Pokémon,Pokémon Armadura,갑주포켓몬,かっちゅうポケモン
,Pokémon Poisson,Pokémon Pesce,Fisch-Pokémon,Pokémon Pez,물고기포켓몬,さかなポケモン
Tender Stockmonster,Pokémon Tendre,Pokémon Tenerezza,Zartheits-Pokémon,Pokémon Tierno,사랑포켓몬,いつくしみポケモン
,Pokémon Climat,Pokémon Meteo,Wetter,Pokémon Clima,날씨포켓몬,てんきポケモン
,Pokémon Multicolor,Pokémon Mutacolore,Farbenspiel,Pokémon Camaleónico,색변화포켓몬,いろへんげポケモン
,Pokémon Poupée,Pokémon Pupazzo,Puppe,Pokémon Títere,인형포켓몬,にんぎょうポケモン
,Pokémon Marionnette,Pokémon Marionetta,Marionette,Pokémon Marioneta,봉제인형포켓몬,ぬいぐるみポケモン
,Pokémon Requiem,Pokémon Requiem,Requiem-Pokémon,Pokémon Réquiem,마중포켓몬,おむかえポケモン
,Pokémon Appel,Pokémon Ipnosguardo,Wink-Pokémon,Pokémon Atrayente,손짓포켓몬,てまねきポケモン
,Pokémon Fruit,Pokémon Frutto,Obst,Pokémon Fruto,후르츠포켓몬,フルーツポケモン
,Pokémon Carillon,Pokémon Vencampana,Windspiel,Pokémon Sonido Aire,풍경포켓몬,ふうりんポケモン
,Pokémon Désastre,Pokémon Catastrofe,Desaster-Pokémon,Pokémon Catástrofe,재난포켓몬,わざわいポケモン
,Pokémon Ravi,Pokémon Brillante,Strahlekind-Pokémon,Pokémon Radiante,명랑포켓몬,ほがらかポケモン
Snow Hat Stockmonster,Pokémon Capuche,Pokémon Cappelneve,Schneehut-Pokémon,Pokémon Gorro Nieve,눈우산포켓몬,ゆきかさポケモン
,Pokémon Face,Pokémon Tuttomuso,Antlitz-Pokémon,Pokémon Cara,얼굴포켓몬,がんめんポケモン
,Pokémon Clap Clap,Pokémon Rotolante,Applaus-Pokémon,Pokémon Aplauso,손뼉포켓몬,てたたきポケモン
,Pokémon Roule Boule,Pokémon Rotapalla,Spielball-Pokémon,Pokémon Rodabola,공돌리기포켓몬,たままわしポケモン
,Pokémon Brise Glace,Pokémon Spaccagelo,Eisbrecher-Pokémon,Pokémon Rompehielo,얼음깨기포켓몬,こおりわりポケモン
,Pokémon Bivalve,Pokémon Bivalve,Muschel,Pokémon Bivalvo,두조개포켓몬,２まいがいポケモン
,Pokémon Abysse,Pokémon Abissi,Tiefsee,Pokémon Abisal,깊은바다포켓몬,しんかいポケモン
,Pokémon Mer du Sud,Pokémon Sudmarino,Südsee,Pokémon Mar del Sur,남해포켓몬,なんかいポケモン
,Pokémon Longévité,Pokémon Longevità,Bestand-Pokémon,Pokémon Longevo,장수포켓몬,ちょうじゅポケモン
,Pokémon Rendezvous,Pokémon Rendezvous,Rendezvous,Pokémon Cita,랑데부포켓몬,ランデブーポケモン
,Pokémon Tête de Roc,Pokémon Rocciotesta,Steinhaupt-Pokémon,Pokémon Cabeza Roca,돌머리포켓몬,いしあたまポケモン
,Pokémon Endurant,Pokémon Resistenza,Durchsteher-Pokémon,Pokémon Resistencia,인내포켓몬,にんたいポケモン
,Pokémon Dragon,Pokémon Drago,Drachen-Pokémon,Pokémon Dragón,드래곤포켓몬,ドラゴンポケモン
,Pokémon Boulefer,Pokémon Ferrosfera,Eisenkugel-Pokémon,Pokémon Bola Hierro,철공포켓몬,てっきゅうポケモン
Venture Stockmonster,Pokémon Pincefer,Pokémon Ferrunghia,Eisenklauen-Pokémon,Pokémon Garra Hierro,철발톱포켓몬,てつツメポケモン
,Pokémon Pattefer,Pokémon Ferrarto,Eisenfuß-Pokémon,Pokémon Pata Hierro,무쇠다리포켓몬,てつあしポケモン
,Pokémon Pic Rocheux,Pokémon Picco,Steingipfel-Pokémon,Pokémon Pico Roca,바위산포켓몬,いわやまポケモン
,Pokémon Iceberg,Pokémon Iceberg,Eisberg-Pokémon,Pokémon Iceberg,빙산포켓몬,ひょうざんポケモン
,Pokémon Fer,Pokémon Ferro,Eisen-Pokémon,Pokémon Hierro,쇠철포켓몬,くろがねポケモン
Eon Stockmonster,Pokémon Éon,Pokémon Eone,Äon-Pokémon,Pokémon Eón,무한포켓몬,むげんポケモン
Eon Stockmonster,Pokémon Éon,Pokémon Eone,Äon-Pokémon,Pokémon Eón,무한포켓몬,むげんポケモン
,Pokémon Bassinmarin,Pokémon Oceano,Seegründler-Pokémon,Pokémon Cuenca Mar,해저포켓몬,かいていポケモン
,Pokémon Continent,Pokémon Continente,Kontinent-Pokémon,Pokémon Continente,대륙포켓몬,たいりくポケモン
,Pokémon Cieux,Pokémon Stratosfera,Himmelhoch-Pokémon,Pokémon Cielo,천공포켓몬,てんくうポケモン
,Pokémon Souhait,Pokémon Desiderio,Wünscher-Pokémon,Pokémon Deseo,희망사항포켓몬,ねがいごとポケモン
,Pokémon ADN,Pokémon DNA,DNS,Pokémon ADN,DNA포켓몬,ＤＮＡポケモン
,Pokémon Minifeuille,Pokémon Fogliolina,Winziglaub,Pokémon Hojita,어린잎포켓몬,わかばポケモン
,Pokémon Bosquet,Pokémon Boschetto,Hain,Pokémon Arboleda,나무숲포켓몬,こだちポケモン
,Pokémon Continent,Pokémon Continente,Kontinent,Pokémon Continente,대륙포켓몬,たいりくポケモン
,Pokémon Chimpanzé,Pokémon Scimpanzé,Schimpanse,Pokémon Chimpancé,꼬마원숭이포켓몬,こざるポケモン
,Pokémon Garnement,Pokémon Briccone,Verspielt,Pokémon Juguetón,개구쟁이포켓몬,やんちゃポケモン
,Pokémon Flamme,Pokémon Fiamma,Flamme,Pokémon Llama,화염포켓몬,かえんポケモン
Pudgy Stockmonster,Pokémon Pingouin,Pokémon Pinguino,Pinguin,Pokémon Pingüino,펭귄포켓몬,ペンギンポケモン
,Pokémon Pingouin,Pokémon Pinguino,Pinguin,Pokémon Pingüino,펭귄포켓몬,ペンギンポケモン
,Pokémon Empereur,Pokémon Imperatore,Kaiser,Pokémon Emperador,황제포켓몬,こうていポケモン
,Pokémon Étourneau,Pokémon Storno,Star,Pokémon Estornino,찌르레기포켓몬,むくどりポケモン
,Pokémon Étourneau,Pokémon Storno,Star,Pokémon Estornino,찌르레기포켓몬,むくどりポケモン
,Pokémon Rapace,Pokémon Rapace,Raubtier,Pokémon Depredador,맹금포켓몬,もうきんポケモン
,Pokémon Souridodue,Pokémon Topaffuto,Dickmaus,Pokémon Gran Ratón,둥글쥐포켓몬,まるねずみポケモン
,Pokémon Castor,Pokémon Castoro,Biber,Pokémon Castor,비버포켓몬,ビーバーポケモン
,Pokémon Criquet,Pokémon Grillo,Zirper,Pokémon Grillo,귀뚜라미포켓몬,こおろぎポケモン
,Pokémon Criquet,Pokémon Grillo,Zirper,Pokémon Grillo,귀뚜라미포켓몬,こおろぎポケモン
,Pokémon Flash,Pokémon Baleno,Flacker-Pokémon,Pokémon Flash,섬광포켓몬,せんこうポケモン
,Pokémon Étincelle,Pokémon Favilla,Funken-Pokémon,Pokémon Chispa,전광포켓몬,でんこうポケモン
,Pokémon Brillœil,Pokémon Occhiluce,Glühaugen-Pokémon,Pokémon Chispa Ojos,안광포켓몬,がんこうポケモン
,Pokémon Bourgeon,Pokémon Germoglio,Knospen-Pokémon,Pokémon Brote,꽃봉오리포켓몬,つぼみポケモン
,Pokémon Bouquet,Pokémon Floreale,Blumenstrauß-Pokémon,Pokémon Ramillete,부케포켓몬,ブーケポケモン
,Pokémon Coud’Boule,Pokémon Cranioso,Kopfstoß,Pokémon Cabezazo,박치기포켓몬,ずつきポケモン
,Pokémon Coud’Boule,Pokémon Cranioso,Kopfstoß,Pokémon Cabezazo,박치기포켓몬,ずつきポケモン
,Pokémon Bouclier,Pokémon Schermo,Schutzschild,Pokémon Escudo,실드포켓몬,シールドポケモン
,Pokémon Bouclier,Pokémon Schermo,Schutzschild,Pokémon Escudo,실드포켓몬,シールドポケモン
,Pokémon Ver Caché,Pokémon Larva,Beutelwurm,Pokémon Larva,도롱이벌레포켓몬,みのむしポケモン
