en,fr,it,de,es,ko,kana
,Lovdisc,Luvdisc,Liebiskus,Luvdisc,사랑동이,ラブカス
,Draby,Bagon,Kindwurm,Bagon,아공이,タツベイ
,Drackhaus,Shelgon,Draschel,Shelgon,쉘곤,コモルー
,Drattak,Salamence,Brutalanda,Salamence,보만다,ボーマンダ
,Terhal,Beldum,Tanhel,Beldum,메탕,ダンバル
A16zoid,Métang,Metang,Metang,Metang,메탕구,メタング
,Métalosse,Metagross,Metagross,Metagross,메타그로스,メタグロス
,Regirock,Regirock,Regirock,Regirock,레지락,レジロック
,Regice,Regice,Regice,Regice,레지아이스,レジアイス
,Registeel,Registeel,Registeel,Registeel,레지스틸,レジスチル
Robloxis,Latias,Latias,Latias,Latias,라티아스,ラティアス
Rcatamount,Latios,Latios,Latios,Latios,라티오스,ラティオス
,Kyogre,Kyogre,Kyogre,Kyogre,가이오가,カイオーガ
,Groudon,Groudon,Groudon,Groudon,그란돈,グラードン
,Rayquaza,Rayquaza,Rayquaza,Rayquaza,레쿠쟈,レックウザ
,Jirachi,Jirachi,Jirachi,Jirachi,지라치,ジラーチ
,Deoxys,Deoxys,Deoxys,Deoxys,테오키스,デオキシス
,Tortipouss,Turtwig,Chelast,Turtwig,모부기,ナエトル
,Boskara,Grotle,Chelcarain,Grotle,수풀부기,ハヤシガメ
,Torterra,Torterra,Chelterrar,Torterra,토대부기,ドダイトス
,Ouisticram,Chimchar,Panflam,Chimchar,불꽃숭이,ヒコザル
,Chimpenfeu,Monferno,Panpyro,Monferno,파이숭이,モウカザル
,Simiabraz,Infernape,Panferno,Infernape,초염몽,ゴウカザル
Penguplup,Tiplouf,Piplup,Plinfa,Piplup,팽도리,ポッチャマ
,Prinplouf,Prinplup,Pliprin,Prinplup,팽태자,ポッタイシ
,Pingoléon,Empoleon,Impoleon,Empoleon,엠페르트,エンペルト
,Étourmi,Starly,Staralili,Starly,찌르꼬,ムックル
,Étourvol,Staravia,Staravia,Staravia,찌르버드,ムクバード
,Étouraptor,Staraptor,Staraptor,Staraptor,찌르호크,ムクホーク
,Keunotor,Bidoof,Bidiza,Bidoof,비버니,ビッパ
,Castorno,Bibarel,Bidifas,Bibarel,비버통,ビーダル
,Crikzik,Kricketot,Zirpurze,Kricketot,귀뚤뚜기,コロボーシ
,Mélokrik,Kricketune,Zirpeise,Kricketune,귀뚤톡크,コロトック
,Lixy,Shinx,Sheinux,Shinx,꼬링크,コリンク
,Luxio,Luxio,Luxio,Luxio,럭시오,ルクシオ
,Luxray,Luxray,Luxtra,Luxray,렌트라,レントラー
,Rozbouton,Budew,Knospi,Budew,꼬몽울,スボミー
,Roserade,Roserade,Roserade,Roserade,로즈레이드,ロズレイド
,Kranidos,Cranidos,Koknodon,Cranidos,두개도스,ズガイドス
,Charkos,Rampardos,Rameidon,Rampardos,램펄드,ラムパルド
,Dinoclier,Shieldon,Schilterus,Shieldon,방패톱스,タテトプス
,Bastiodon,Bastiodon,Bollterus,Bastiodon,바리톱스,トリデプス
,Cheniti,Burmy,Burmy,Burmy,도롱충이,ミノムッチ
,Cheniselle,Wormadam,Burmadame,Wormadam,도롱마담,ミノマダム
,Papilord,Mothim,Moterpel,Mothim,나메일,ガーメイル
,Apitrini,Combee,Wadribie,Combee,세꿀버리,ミツハニー
,Apireine,Vespiquen,Honweisel,Vespiquen,비퀸,ビークイン
Pnutkin,Pachirisu,Pachirisu,Pachirisu,Pachirisu,파치리스,パチリス
Rddtroll,Mustébouée,Buizel,Bamelin,Buizel,브이젤,ブイゼル
Redwyrm,Mustéflott,Floatzel,Bojelin,Floatzel,플로젤,フローゼル
,Ceribou,Cherubi,Kikugi,Cherubi,체리버,チェリンボ
,Ceriflor,Cherrim,Kinoso,Cherrim,체리꼬,チェリム
Rigetyphon,Sancoki,Shellos,Schalellos,Shellos,깝질무,カラナクシ
Rivyathan,Tritosor,Gastrodon,Gastrodon,Gastrodon,트리토돈,トリトドン
,Capidextre,Ambipom,Ambidiffel,Ambipom,겟핸보숭,エテボース
,Baudrive,Drifloon,Driftlon,Drifloon,흔들풍손,フワンテ
,Grodrive,Drifblim,Drifzepeli,Drifblim,둥실라이드,フワライド
,Laporeille,Buneary,Haspiror,Buneary,이어롤,ミミロル
,Lockpin,Lopunny,Schlapor,Lopunny,이어롭,ミミロップ
,Magirêve,Mismagius,Traunmagil,Mismagius,무우마직,ムウマージ
,Corboss,Honchkrow,Kramshef,Honchkrow,돈크로우,ドンカラス
Miladyow,Chaglam,Glameow,Charmian,Glameow,나옹마,ニャルマー
Moggrin,Chaffreux,Purugly,Shnurgarst,Purugly,몬냥이,ブニャット
,Korillon,Chingling,Klingplim,Chingling,랑딸랑,リーシャン
,Moufouette,Stunky,Skunkapuh,Stunky,스컹뿡,スカンプー
,Moufflair,Skuntank,Skuntank,Skuntank,스컹탱크,スカタンク
Rocketyr,Archéomire,Bronzor,Bronzel,Bronzor,동미러,ドーミラー
,Archéodong,Bronzong,Bronzong,Bronzong,동탁군,ドータクン
,Manzaï,Bonsly,Mobai,Bonsly,꼬지지,ウソハチ
,Mime Jr.,Mime Jr.,Pantimimi,Mime Jr.,흉내내,マネネ
,Ptiravi,Happiny,Wonneira,Happiny,핑복,ピンプク
,Pijako,Chatot,Plaudagei,Chatot,페라페,ペラップ
,Spiritomb,Spiritomb,Kryppuk,Spiritomb,화강돌,ミカルゲ
,Griknot,Gible,Kaumalat,Gible,딥상어동,フカマル
,Carmache,Gabite,Knarksel,Gabite,한바이트,ガバイト
,Carchacrok,Garchomp,Knakrack,Garchomp,한카리아스,ガブリアス
,Goinfrex,Munchlax,Mampfaxo,Munchlax,먹고자,ゴンベ
,Riolu,Riolu,Riolu,Riolu,리오르,リオル
,Lucario,Lucario,Lucario,Lucario,루카리오,ルカリオ
,Hippopotas,Hippopotas,Hippopotas,Hippopotas,히포포타스,ヒポポタス
Moodango,Hippodocus,Hippowdon,Hippoterus,Hippowdon,하마돈,カバルドン
Sunrunner,Rapion,Skorupi,Pionskora,Skorupi,스콜피,スコルピ
,Drascore,Drapion,Piondragi,Drapion,드래피온,ドラピオン
Echosatyr,Cradopaud,Croagunk,Glibunkel,Croagunk,삐딱구리,グレッグル
Dividrake,Coatox,Toxicroak,Toxiquak,Toxicroak,독개굴,ドクロッグ
Sgovault,Vortente,Carnivine,Venuflibis,Carnivine,무스틈니,マスキッパ
Shopifyre,Écayon,Finneon,Finneon,Finneon,형광어,ケイコウオ
,Luminéon,Lumineon,Lumineon,Lumineon,네오라이트,ネオラント
,Babimanta,Mantyke,Mantirps,Mantyke,타만타,タマンタ
Shyren,Blizzi,Snover,Shnebedeck,Snover,눈쓰개,ユキカブリ
Simotion,Blizzaroi,Abomasnow,Rexblisar,Abomasnow,눈설왕,ユキノオー
,Dimoret,Weavile,Snibunna,Weavile,포푸니라,マニューラ
,Magnézone,Magnezone,Magnezone,Magnezone,자포코일,ジバコイル
,Coudlangue,Lickilicky,Schlurplek,Lickilicky,내룸벨트,ベロベルト
,Rhinastoc,Rhyperior,Rihornior,Rhyperior,거대코뿌리,ドサイドン
Skhydra,Bouldeneu,Tangrowth,Tangoloss,Tangrowth,덩쿠림보,モジャンボ
,Élekable,Electivire,Elevoltek,Electivire,에레키블,エレキブル
,Maganon,Magmortar,Magbrant,Magmortar,마그마번,ブーバーン
,Togekiss,Togekiss,Togekiss,Togekiss,토게키스,トゲキッス
Slserum,Yanmega,Yanmega,Yanmega,Yanmega,메가자리,メガヤンマ
,Phyllali,Leafeon,Folipurba,Leafeon,리피아,リーフィア
,Givrali,Glaceon,Glaziola,Glaceon,글레이시아,グレイシア
,Scorvol,Gliscor,Skorgro,Gliscor,글라이온,グライオン
,Mammochon,Mamoswine,Mamutel,Mamoswine,맘모꾸리,マンムー
,Porygon-Z,Porygon-Z,Porygon-Z,Porygon-Z,폴리곤Z,ポリゴンＺ
Silvyrm,Gallame,Gallade,Galagladi,Gallade,엘레이드,エルレイド
,Tarinorme,Probopass,Voluminas,Probopass,대코파스,ダイノーズ
,Noctunoir,Dusknoir,Zwirrfinst,Dusknoir,야느와르몽,ヨノワール
,Momartik,Froslass,Frosdedje,Froslass,눈여아,ユキメノコ
,Motisma,Rotom,Rotom,Rotom,로토무,ロトム
,Créhelf,Uxie,Selfe,Uxie,유크시,ユクシー
,Créfollet,Mesprit,Vesprit,Mesprit,엠라이트,エムリット
,Créfadet,Azelf,Tobutz,Azelf,아그놈,アグノム
,Dialga,Dialga,Dialga,Dialga,디아루가,ディアルガ
,Palkia,Palkia,Palkia,Palkia,펄기아,パルキア
,Heatran,Heatran,Heatran,Heatran,히드런,ヒードラン
,Regigigas,Regigigas,Regigigas,Regigigas,레지기가스,レジギガス
,Giratina,Giratina,Giratina,Giratina,기라티나,ギラティナ
,Cresselia,Cresselia,Cresselia,Cresselia,크레세리아,クレセリア
,Phione,Phione,Phione,Phione,피오네,フィオネ
,Manaphy,Manaphy,Manaphy,Manaphy,마나피,マナフィ
,Darkrai,Darkrai,Darkrai,Darkrai,다크라이,ダークライ
,Shaymin,Shaymin,Shaymin,Shaymin,쉐이미,シェイミ
,Arceus,Arceus,Arceus,Arceus,아르세우스,アルセウス
,Victini,Victini,Victini,Victini,비크티니,ビクティニ
,Vipélierre,Snivy,Serpifeu,Snivy,주리비얀,ツタージャ
,Lianaja,Servine,Efoserp,Servine,샤비,ジャノビー
Smcimera,Majaspic,Serperior,Serpiroyal,Serperior,샤로다,ジャローダ
,Gruikui,Tepig,Floink,Tepig,뚜꾸리,ポカブ
,Grotichon,Pignite,Ferkokel,Pignite,차오꿀,チャオブー
,Roitiflam,Emboar,Flambirex,Emboar,염무왕,エンブオー
,Moustillon,Oshawott,Ottaro,Oshawott,수댕이,ミジュマル
,Mateloutre,Dewott,Zwottronin,Dewott,쌍검자비,フタチマル
,Clamiral,Samurott,Admurai,Samurott,대검귀,ダイケンキ
,Ratentif,Patrat,Nagelotz,Patrat,보르쥐,ミネズミ
,Miradar,Watchog,Kukmarda,Watchog,보르그,ミルホッグ
Wifpup,Ponchiot,Lillipup,Yorkleff,Lillipup,요테리,ヨーテリー
Kibherd,Ponchien,Herdier,Terribark,Herdier,하데리어,ハーデリア
,Mastouffe,Stoutland,Bissbark,Stoutland,바랜드,ムーランド
,Chacripan,Purrloin,Felilou,Purrloin,쌔비냥,チョロネコ
,Léopardus,Liepard,Kleoparda,Liepard,레파르다스,レパルダス
,Feuillajou,Pansage,Vegimak,Pansage,야나프,ヤナップ
,Feuiloutan,Simisage,Vegichita,Simisage,야나키,ヤナッキー
,Flamajou,Pansear,Grillmak,Pansear,바오프,バオップ
,Flamoutan,Simisear,Grillchita,Simisear,바오키,バオッキー
,Flotajou,Panpour,Sodamak,Panpour,앗차프,ヒヤップ
,Flotoutan,Simipour,Sodachita,Simipour,앗차키,ヒヤッキー
,Munna,Munna,Somniam,Munna,몽나,ムンナ
Actmuse,Mushana,Musharna,Somnivora,Musharna,몽얌나,ムシャーナ
,Poichigeon,Pidove,Dusselgurr,Pidove,콩둘기,マメパト
,Colombeau,Tranquill,Navitaub,Tranquill,유토브,ハトーボー
,Déflaisan,Unfezant,Fasasnob,Unfezant,켄호로우,ケンホロウ
,Zébibron,Blitzle,Elezeba,Blitzle,줄뮤마,シママ
,Zéblitz,Zebstrika,Zebritz,Zebstrika,제브라이카,ゼブライカ
Smhelix,Nodulithe,Roggenrola,Kiesling,Roggenrola,단굴,ダンゴロ
,Géolithe,Boldore,Sedimantur,Boldore,암트르,ガントル
,Gigalithe,Gigalith,Brockoloss,Gigalith,기가이어스,ギガイアス
,Chovsourir,Woobat,Fleknoil,Woobat,또르박쥐,コロモリ
,Rhinolove,Swoobat,Fletiamo,Swoobat,맘박쥐,ココロモリ
Smrcore,Rototaupe,Drilbur,Rotomurf,Drilbur,두더류,モグリュー
,Minotaupe,Excadrill,Stalobor,Excadrill,몰드류,ドリュウズ
,Nanméouïe,Audino,Ohrdoch,Audino,다부니,タブンネ
,Charpenti,Timburr,Praktibalk,Timburr,으랏차,ドッコラー
,Ouvrifier,Gurdurr,Strepoli,Gurdurr,토쇠골,ドテッコツ
,Bétochef,Conkeldurr,Meistagrif,Conkeldurr,노보청,ローブシン
Snapjaw,Tritonde,Tympole,Schallquap,Tympole,동챙이,オタマロ
Sandwyrm,Batracné,Palpitoad,Mebrana,Palpitoad,두까비,ガマガル
Pepetoad,Crapustule,Seismitoad,Branawarz,Seismitoad,두빅굴,ガマゲロゲ
,Judokrak,Throh,Jiutesto,Throh,던지미,ナゲキ
,Karaclée,Sawk,Karadonis,Sawk,타격귀,ダゲキ
,Larveyette,Sewaddle,Strawickl,Sewaddle,두르보,クルミル
,Couverdure,Swadloon,Folikon,Swadloon,두르쿤,クルマユ
,Manternel,Leavanny,Matrifol,Leavanny,모아머,ハハコモリ
Snowyrm,Venipatte,Venipede,Toxiped,Venipede,마디네,フシデ
Sofinix,Scobolide,Whirlipede,Rollum,Whirlipede,휠구,ホイーガ
,Brutapode,Scolipede,Cerapendra,Scolipede,펜드라,ペンドラー
,Doudouvet,Cottonee,Waumboll,Cottonee,소미안,モンメン
,Farfaduvet,Whimsicott,Elfun,Whimsicott,엘풍,エルフーン
,Chlorobule,Petilil,Lilminip,Petilil,치릴리,チュリネ
,Fragilady,Lilligant,Dressella,Lilligant,드레디어,ドレディア
,Bargantua,Basculin,Barschuft,Basculin,배쓰나이,バスラオ
,Mascaïman,Sandile,Ganovil,Sandile,깜눈크,メグロコ
Crocorok,Escroco,Krokorok,Rokkaiman,Krokorok,악비르,ワルビル
,Crocorible,Krookodile,Rabigator,Krookodile,악비아르,ワルビアル
,Darumarond,Darumaka,Flampion,Darumaka,달막화,ダルマッカ
,Darumacho,Darmanitan,Flampivian,Darmanitan,불비달마,ヒヒダルマ
,Maracachi,Maractus,Maracamba,Maractus,마라카치,マラカッチ
,Crabicoque,Dwebble,Lithomith,Dwebble,돌살이,イシズマイ
,Crabaraque,Crustle,Castellith,Crustle,암팰리스,イワパレス
Degenaggy,Baggiguane,Scraggy,Zurrokex,Scraggy,곤율랭,ズルッグ
Snekrafty,Baggaïd,Scrafty,Irokex,Scrafty,곤율거니,ズルズキン
,Cryptéro,Sigilyph,Symvolara,Sigilyph,심보러,シンボラー
,Tutafeh,Yamask,Makabaja,Yamask,데스마스,デスマス
,Tutankafer,Cofagrigus,Echnatoll,Cofagrigus,데스니칸,デスカーン
,Carapagos,Tirtouga,Galapaflos,Tirtouga,프로토가,プロトーガ
,Mégapagos,Carracosta,Karippas,Carracosta,늑골라,アバゴーラ
,Arkéapti,Archen,Flapteryx,Archen,아켄,アーケン
,Aéroptéryx,Archeops,Aeropteryx,Archeops,아케오스,アーケオス
,Miamiasme,Trubbish,Unratütox,Trubbish,깨봉이,ヤブクロン
,Miasmax,Garbodor,Deponitox,Garbodor,더스트나,ダストダス
,Zorua,Zorua,Zorua,Zorua,조로아,ゾロア
,Zoroark,Zoroark,Zoroark,Zoroark,조로아크,ゾロアーク
,Chinchidou,Minccino,Picochilla,Minccino,치라미,チラーミィ
,Pashmilla,Cinccino,Chillabell,Cinccino,치라치노,チラチーノ
,Scrutella,Gothita,Mollimorba,Gothita,고디탱,ゴチム
,Mesmérella,Gothorita,Hypnomorba,Gothorita,고디보미,ゴチミル
,Sidérella,Gothitelle,Morbitesse,Gothitelle,고디모아젤,ゴチルゼル
,Nucléos,Solosis,Monozyto,Solosis,유니란,ユニラン
,Méios,Duosion,Mitodos,Duosion,듀란,ダブラン
,Symbios,Reuniclus,Zytomega,Reuniclus,란쿨루스,ランクルス
Quacklett,Couaneton,Ducklett,Piccolente,Ducklett,꼬지보리,コアルヒー
,Lakmécygne,Swanna,Swaroness,Swanna,스완나,スワンナ
,Sorbébé,Vanillite,Gelatini,Vanillite,바닐프티,バニプッチ
,Sorboul,Vanillish,Gelatroppo,Vanillish,바닐리치,バニリッチ
,Sorbouboul,Vanilluxe,Gelatwino,Vanilluxe,배바닐라,バイバニラ
,Vivaldaim,Deerling,Sesokitz,Deerling,사철록,シキジカ
,Haydaim,Sawsbuck,Kronjuwild,Sawsbuck,바라철록,メブキジカ
,Emolga,Emolga,Emolga,Emolga,에몽가,エモンガ
,Carabing,Karrablast,Laukaps,Karrablast,딱정곤,カブルモ
,Lançargot,Escavalier,Cavalanzas,Escavalier,슈바르고,シュバルゴ
,Trompignon,Foongus,Tarnpignon,Foongus,깜놀버슬,タマゲタケ
,Gaulet,Amoonguss,Hutsassa,Amoonguss,뽀록나,モロバレル
Soundhowl,Viskuse,Frillish,Quabbel,Frillish,탱그릴,プルリル
,Moyade,Jellicent,Apoquallyp,Jellicent,탱탱겔,ブルンゲル
,Mamanbo,Alomomola,Mamolida,Alomomola,맘복치,ママンボウ
,Statitik,Joltik,Wattzapf,Joltik,파쪼옥,バチュル
,Mygavolt,Galvantula,Voltula,Galvantula,전툴라,デンチュラ
,Grindur,Ferroseed,Kastadur,Ferroseed,철시드,テッシード
,Noacier,Ferrothorn,Tentantel,Ferrothorn,너트령,ナットレイ
,Tic,Klink,Klikk,Klink,기어르,ギアル
Soxxolith,Clic,Klang,Kliklak,Klang,기기어르,ギギアル
Spacexodus,Cliticlic,Klinklang,Klikdiklak,Klinklang,기기기어르,ギギギアル
Momentyr,Anchwatt,Tynamo,Zapplardin,Tynamo,저리어,シビシラス
,Lampéroie,Eelektrik,Zapplalek,Eelektrik,저리릴,シビビール
Spyrant,Ohmassacre,Eelektross,Zapplarang,Eelektross,저리더프,シビルドン
,Lewsor,Elgyem,Pygraulon,Elgyem,리그레,リグレー
,Neitram,Beheeyem,Megalon,Beheeyem,벰크,オーベム
,Funécire,Litwick,Lichtel,Litwick,불켜미,ヒトモシ
,Mélancolux,Lampent,Laternecto,Lampent,램프라,ランプラー
,Lugulabre,Chandelure,Skelabra,Chandelure,샹델라,シャンデラ
,Coupenotte,Axew,Milza,Axew,터검니,キバゴ
,Incisache,Fraxure,Sharfax,Fraxure,액슨도,オノンド
,Tranchodon,Haxorus,Maxax,Haxorus,액스라이즈,オノノクス
,Polarhume,Cubchoo,Petznief,Cubchoo,코고미,クマシュン
,Polagriffe,Beartic,Siberio,Beartic,툰베어,ツンベアー
,Hexagel,Cryogonal,Frigometri,Cryogonal,프리지오,フリージオ
,Escargaume,Shelmet,Schnuthelm,Shelmet,쪼마리,チョボマキ
,Limaspeed,Accelgor,Hydragil,Accelgor,어지리더,アギルダー
,Limonde,Stunfisk,Flunschlik,Stunfisk,메더,マッギョ
,Kungfouine,Mienfoo,Lin-Fu,Mienfoo,비조푸,コジョフー
,Shaofouine,Mienshao,Wie-Shu,Mienshao,비조도,コジョンド
,Drakkarmin,Druddigon,Shardrago,Druddigon,크리만,クリムガン
,Gringolem,Golett,Golbit,Golett,골비람,ゴビット
,Golemastoc,Golurk,Golgantes,Golurk,골루그,ゴルーグ
,Scalpion,Pawniard,Gladiantri,Pawniard,자망칼,コマタナ
,Scalproie,Bisharp,Caesurio,Bisharp,절각참,キリキザン
,Frison,Bouffalant,Bisofank,Bouffalant,버프론,バッフロン
,Furaiglon,Rufflet,Geronimatz,Rufflet,수리둥보,ワシボン
,Gueriaigle,Braviary,Washakwil,Braviary,워글,ウォーグル
,Vostourno,Vullaby,Skallyk,Vullaby,벌차이,バルチャイ
,Vaututrice,Mandibuzz,Grypheldis,Mandibuzz,버랜지나,バルジーナ
,Aflamanoir,Heatmor,Furnifraß,Heatmor,앤티골,クイタラン
,Fermite,Durant,Fermicula,Durant,아이앤트,アイアント
,Solochi,Deino,Kapuno,Deino,모노두,モノズ
,Diamat,Zweilous,Duodino,Zweilous,디헤드,ジヘッド
,Trioxhydre,Hydreigon,Trikephalo,Hydreigon,삼삼드래,サザンドラ
,Pyronille,Larvesta,Ignivor,Larvesta,활화르바,メラルバ
,Pyrax,Volcarona,Ramoth,Volcarona,불카모스,ウルガモス
,Cobaltium,Cobalion,Kobalium,Cobalion,코바르온,コバルオン
,Terrakium,Terrakion,Terrakium,Terrakion,테라키온,テラキオン
,Viridium,Virizion,Viridium,Virizion,비리디온,ビリジオン
,Boréas,Tornadus,Boreos,Tornadus,토네로스,トルネロス
,Fulguris,Thundurus,Voltolos,Thundurus,볼트로스,ボルトロス
,Reshiram,Reshiram,Reshiram,Reshiram,레시라무,レシラム
,Zekrom,Zekrom,Zekrom,Zekrom,제크로무,ゼクロム
,Démétéros,Landorus,Demeteros,Landorus,랜드로스,ランドロス
,Kyurem,Kyurem,Kyurem,Kyurem,큐레무,キュレム
,Keldeo,Keldeo,Keldeo,Keldeo,케르디오,ケルディオ
,Meloetta,Meloetta,Meloetta,Meloetta,메로엣타,メロエッタ
,Genesect,Genesect,Genesect,Genesect,게노세크트,ゲノセクト
,Marisson,Chespin,Igamaro,Chespin,도치마론,ハリマロン
,Boguérisse,Quilladin,Igastarnish,Quilladin,도치보구,ハリボーグ
Tenergon,Blindépique,Chesnaught,Brigaron,Chesnaught,브리가론,ブリガロン
,Feunnec,Fennekin,Fynx,Fennekin,푸호꼬,フォッコ
,Roussil,Braixen,Rutena,Braixen,테르나,テールナー
,Goupelin,Delphox,Fennexis,Delphox,마폭시,マフォクシー
Apufrolic,Grenousse,Froakie,Froxy,Froakie,개구마르,ケロマツ
,Croâporal,Frogadier,Amphizel,Frogadier,개굴반장,ゲコガシラ
,Amphinobi,Greninja,Quajutsu,Greninja,개굴닌자,ゲッコウガ
,Sapereau,Bunnelby,Scoppel,Bunnelby,파르빗,ホルビー
Ratsby,Excavarenne,Diggersby,Grebbit,Diggersby,파르토,ホルード
,Passerouge,Fletchling,Dartiri,Fletchling,화살꼬빈,ヤヤコマ
Atlassiant,Braisillon,Fletchinder,Dartignis,Fletchinder,불화살빈,ヒノヤコマ
Tempusguard,Flambusard,Talonflame,Fiaro,Talonflame,파이어로,ファイアロー
,Lépidonille,Scatterbug,Purmel,Scatterbug,분이벌레,コフキムシ
,Pérégrain,Spewpa,Puponcho,Spewpa,분떠도리,コフーライ
,Prismillon,Vivillon,Vivillon,Vivillon,비비용,ビビヨン
,Hélionceau,Litleo,Leufeo,Litleo,레오꼬,シシコ
,Némélios,Pyroar,Pyroleo,Pyroar,화염레오,カエンジシ
,Flabébé,Flabébé,Flabébé,Flabébé,플라베베,フラベベ
,Floette,Floette,Floette,Floette,플라엣테,フラエッテ
,Florges,Florges,Florges,Florges,플라제스,フラージェス
Goatrophet,Cabriolaine,Skiddo,Mähikel,Skiddo,메이클,メェークル
Teradon,Chevroum,Gogoat,Chevrumm,Gogoat,고고트,ゴーゴート
Gokuchamp,Pandespiègle,Pancham,Pam-Pam,Pancham,판짱,ヤンチャム
Harambro,Pandarbare,Pangoro,Pandagro,Pangoro,부란다,ゴロンダ
Neirofrou,Couafarel,Furfrou,Coiffwaff,Furfrou,트리미앙,トリミアン
Toshimew,Psystigri,Espurr,Psiau,Espurr,냐스퍼,ニャスパー
Michiwhisk,Mistigrix,Meowstic,Psiaugon,Meowstic,냐오닉스,ニャオニクス
,Monorpale,Honedge,Gramokles,Honedge,단칼빙,ヒトツキ
,Dimoclès,Doublade,Duokles,Doublade,쌍검킬,ニダンギル
,Exagide,Aegislash,Durengard,Aegislash,킬가르도,ギルガルド
,Fluvetin,Spritzee,Parfi,Spritzee,슈쁘,シュシュプ
,Cocotine,Aromatisse,Parfinesse,Aromatisse,프레프티르,フレフワン
,Sucroquin,Swirlix,Flauschling,Swirlix,나룸퍼프,ペロッパフ
,Cupcanaille,Slurpuff,Sabbaione,Slurpuff,나루림,ペロリーム
,Sepiatop,Inkay,Iscalar,Inkay,오케이징,マーイーカ
,Sepiatroce,Malamar,Calamanero,Malamar,칼라마네로,カラマネロ
Tsemtitan,Opermine,Binacle,Bithora,Binacle,거북손손,カメテテ
,Golgopathe,Barbaracle,Thanathora,Barbaracle,거북손데스,ガメノデス
,Venalgue,Skrelp,Algitt,Skrelp,수레기,クズモー
,Kravarech,Dragalge,Tandrak,Dragalge,드래캄,ドラミドロ
,Flingouste,Clauncher,Scampisto,Clauncher,완철포,ウデッポウ
,Gamblast,Clawitzer,Wummer,Clawitzer,블로스터,ブロスター
Foundrake,Galvaran,Helioptile,Eguana,Helioptile,목도리키텔,エリキテル
,Iguolta,Heliolisk,Elezard,Heliolisk,일레도리자드,エレザード
,Ptyranidur,Tyrunt,Balgoras,Tyrunt,티고라스,チゴラス
,Rexillius,Tyrantrum,Monargoras,Tyrantrum,견고라스,ガチゴラス
,Amagara,Amaura,Amarino,Amaura,아마루스,アマルス
,Dragmara,Aurorus,Amagarga,Aurorus,아마루르가,アマルルガ
,Nymphali,Sylveon,Feelinara,Sylveon,님피아,ニンフィア
,Brutalibré,Hawlucha,Resladero,Hawlucha,루차불,ルチャブル
,Dedenne,Dedenne,Dedenne,Dedenne,데덴네,デデンネ
,Strassie,Carbink,Rocara,Carbink,멜리시,メレシー
Tradewraith,Mucuscule,Goomy,Viscora,Goomy,미끄메라,ヌメラ
,Colimucus,Sliggoo,Viscargot,Sliggoo,미끄네일,ヌメイル
Takewyrm,Muplodocus,Goodra,Viscogon,Goodra,미끄래곤,ヌメルゴン
,Trousselin,Klefki,Clavion,Klefki,클레피,クレッフィ
,Brocélôme,Phantump,Paragoni,Phantump,나목령,ボクレー
,Desséliande,Trevenant,Trombork,Trevenant,대로트,オーロット
,Pitrouille,Pumpkaboo,Irrbis,Pumpkaboo,호바귀,バケッチャ
,Banshitrouye,Gourgeist,Pumpdjinn,Gourgeist,펌킨인,パンプジン
Umcron,Grelaçon,Bergmite,Arktip,Bergmite,꽁어름,カチコール
,Séracrawl,Avalugg,Arktilas,Avalugg,크레베이스,クレベース
Unhydra,Sonistrelle,Noibat,eF-eM,Noibat,음뱃,オンバット
,Bruyverne,Noivern,UHaFnir,Noivern,음번,オンバーン
,Xerneas,Xerneas,Xerneas,Xerneas,제르네아스,ゼルネアス
,Yveltal,Yveltal,Yveltal,Yveltal,이벨타르,イベルタル
,Zygarde,Zygarde,Zygarde,Zygarde,지가르데,ジガルデ
,Diancie,Diancie,Diancie,Diancie,디안시,ディアンシー
,Hoopa,Hoopa,Hoopa,Hoopa,후파,フーパ
,Volcanion,Volcanion,Volcanion,Volcanion,볼케니온,ボルケニオン
,Brindibou,Rowlet,Bauz,Rowlet,나몰빼미,モクロー
,Efflèche,Dartrix,Arboretoss,Dartrix,빼미스로우,フクスロー
,Archéduc,Decidueye,Silvarro,Decidueye,모크나이퍼,ジュナイパー
Keycatten,Flamiaou,Litten,Flamiau,Litten,냐오불,ニャビー
Hosicat,Matoufeu,Torracat,Miezunder,Torracat,냐오히트,ニャヒート
Upsurge,Félinferno,Incineroar,Fuegro,Incineroar,어흥염,ガオガエン
,Otaquin,Popplio,Robball,Popplio,누리공,アシマリ
,Otarlette,Brionne,Marikeck,Brionne,키요공,オシャマリ
Usaronyx,Oratoria,Primarina,Primarene,Primarina,누리레느,アシレーヌ
,Picassaut,Pikipek,Peppeck,Pikipek,콕코구리,ツツケラ
,Piclairon,Trumbeak,Trompeck,Trumbeak,크라파,ケララッパ
,Bazoucan,Toucannon,Tukanon,Toucannon,왕큰부리,ドデカバシ
Usoleviath,Manglouton,Yungoos,Mangunior,Yungoos,영구스,ヤングース
,Argouste,Gumshoos,Manguspektor,Gumshoos,형사구스,デカグース
,Larvibule,Grubbin,Mabula,Grubbin,턱지충이,アゴジムシ
,Chrysapile,Charjabug,Akkup,Charjabug,전지충이,デンヂムシ
,Lucanon,Vikavolt,Donarion,Vikavolt,투구뿌논,クワガノン
,Crabagarre,Crabrawler,Krabbox,Crabrawler,오기지게,マケンカニ
Vicroar,Crabominable,Crabominable,Krawell,Crabominable,모단단게,ケケンカニ
,Plumeline,Oricorio,Choreogel,Oricorio,춤추새,オドリドリ
